step,train_loss,val_loss,lr,layer,wall_time,peak_vram_gb,phase
0,10.993819,10.995167,0.00000120,layer_0,26.7,1.1381,eval
2,10.951538,nan,0.00000240,layer_0,0.0,1.8623,train
3,11.002373,nan,0.00000359,layer_0,0.0,2.2941,train
4,10.977928,nan,0.00000479,layer_0,0.0,2.2941,train
5,10.953583,nan,0.00000599,layer_0,0.0,2.2941,train
6,10.923012,nan,0.00000719,layer_0,0.0,2.2941,train
7,10.871216,nan,0.00000838,layer_0,0.0,2.2941,train
8,10.826927,nan,0.00000958,layer_0,0.0,2.2941,train
9,10.776375,nan,0.00001078,layer_0,0.0,2.2941,train
10,10.679214,nan,0.00001198,layer_0,0.0,2.2941,train
11,10.683285,nan,0.00001317,layer_0,0.0,2.2941,train
12,10.538155,nan,0.00001437,layer_0,0.0,2.2941,train
13,10.568184,nan,0.00001557,layer_0,0.0,2.2941,train
14,10.489742,nan,0.00001677,layer_0,0.0,2.2941,train
15,10.419773,nan,0.00001796,layer_0,0.0,2.2941,train
16,10.358517,nan,0.00001916,layer_0,0.0,2.2941,train
17,10.440544,nan,0.00002036,layer_0,0.0,2.2941,train
18,10.293243,nan,0.00002156,layer_0,0.0,2.2941,train
19,10.325611,nan,0.00002275,layer_0,0.0,2.2941,train
20,10.243809,nan,0.00002395,layer_0,0.0,2.2941,train
22,10.222752,nan,0.00002635,layer_1,0.0,2.2942,train
23,10.229786,nan,0.00002754,layer_1,0.0,2.3510,train
24,10.245106,nan,0.00002874,layer_1,0.0,2.3510,train
25,9.984001,nan,0.00002994,layer_1,0.0,2.3510,train
26,9.798473,nan,0.00003114,layer_1,0.0,2.3510,train
27,10.147690,nan,0.00003234,layer_1,0.0,2.3510,train
28,9.863998,nan,0.00003353,layer_1,0.0,2.3510,train
29,9.848583,nan,0.00003473,layer_1,0.0,2.3510,train
30,10.142235,nan,0.00003593,layer_1,0.0,2.3510,train
31,9.748116,nan,0.00003713,layer_1,0.0,2.3510,train
32,9.669983,nan,0.00003832,layer_1,0.0,2.3510,train
33,9.673912,nan,0.00003952,layer_1,0.0,2.3510,train
34,9.584881,nan,0.00004072,layer_1,0.0,2.3510,train
35,9.451962,nan,0.00004192,layer_1,0.0,2.3510,train
36,9.378429,nan,0.00004311,layer_1,0.0,2.3510,train
37,9.434931,nan,0.00004431,layer_1,0.0,2.3510,train
38,9.609848,nan,0.00004551,layer_1,0.0,2.3510,train
39,9.303953,nan,0.00004671,layer_1,0.0,2.3510,train
40,9.195717,nan,0.00004790,layer_1,0.0,2.3510,train
42,9.339344,nan,0.00005030,layer_2,0.0,2.3514,train
43,9.215565,nan,0.00005150,layer_2,0.0,2.4088,train
44,9.016853,nan,0.00005269,layer_2,0.0,2.4088,train
45,9.192228,nan,0.00005389,layer_2,0.0,2.4099,train
46,9.261274,nan,0.00005509,layer_2,0.0,2.4099,train
47,8.776136,nan,0.00005629,layer_2,0.0,2.4099,train
48,9.074173,nan,0.00005749,layer_2,0.0,2.4099,train
49,8.951286,nan,0.00005868,layer_2,0.0,2.4099,train
50,9.150469,nan,0.00005988,layer_2,0.0,2.4099,train
51,8.620960,nan,0.00006108,layer_2,0.0,2.4099,train
52,8.971151,nan,0.00006228,layer_2,0.2,2.4099,train
53,8.962286,nan,0.00006347,layer_2,0.0,2.4099,train
54,8.701231,nan,0.00006467,layer_2,0.0,2.4099,train
55,8.664377,nan,0.00006587,layer_2,0.2,2.4099,train
56,8.814609,nan,0.00006707,layer_2,0.0,2.4099,train
57,8.626621,nan,0.00006826,layer_2,0.0,2.4099,train
58,8.572120,nan,0.00006946,layer_2,0.0,2.4099,train
59,8.000659,nan,0.00007066,layer_2,0.0,2.4099,train
60,8.306281,nan,0.00007186,layer_2,0.0,2.4099,train
62,8.607092,nan,0.00007425,layer_3,0.0,2.4100,train
63,8.315059,nan,0.00007545,layer_3,0.0,2.4674,train
64,8.333359,nan,0.00007665,layer_3,0.2,2.4674,train
