step,train_loss,val_loss,lr,layer,wall_time,peak_vram_gb,phase
0,10.992536,10.997673,0.00000075,layer_0,8.4,1.1381,eval
5,10.856514,nan,0.00000373,layer_0,0.2,2.2941,train
10,10.776451,nan,0.00000746,layer_0,0.2,2.2941,train
15,10.597500,nan,0.00001119,layer_1,0.2,2.3510,train
20,10.333111,nan,0.00001493,layer_1,0.2,2.3510,train
25,10.137638,nan,0.00001866,layer_2,0.2,2.4099,train
30,10.219563,nan,0.00002239,layer_2,0.2,2.4099,train
35,9.895840,nan,0.00002612,layer_3,0.2,2.4654,train
40,9.597218,nan,0.00002985,layer_3,0.2,2.4654,train
45,9.246841,nan,0.00003358,layer_4,0.2,2.5223,train
50,9.433514,nan,0.00003731,layer_4,0.2,2.5223,train
55,9.022852,nan,0.00004104,layer_5,0.2,2.5796,train
60,8.976009,nan,0.00004478,layer_5,0.2,2.5796,train
65,8.824871,nan,0.00004851,layer_6,0.2,2.6345,train
70,8.573601,nan,0.00005224,layer_6,0.2,2.6345,train
75,8.225830,nan,0.00005597,layer_7,0.2,2.6936,train
80,8.369972,nan,0.00005970,layer_7,0.2,2.6936,train
85,7.931961,nan,0.00006343,layer_8,0.2,2.7450,train
90,7.968779,nan,0.00006716,layer_8,0.2,2.7450,train
95,7.764275,nan,0.00007090,layer_9,0.2,2.8040,train
100,7.664545,nan,0.00007463,layer_9,0.2,2.8040,train
105,7.034153,nan,0.00007836,layer_10,0.2,2.8626,train
110,7.938058,nan,0.00008209,layer_10,0.2,2.8626,train
115,7.692722,nan,0.00008582,layer_11,0.2,2.8629,train
120,7.723938,nan,0.00008955,layer_11,0.2,2.8629,train
125,8.138491,nan,0.00009328,layer_0,0.2,3.1986,train
130,7.701452,nan,0.00009701,layer_0,0.2,3.1986,train
135,7.634480,nan,0.00010000,layer_1,0.2,3.1999,train
140,7.358374,nan,0.00010000,layer_1,0.2,3.1999,train
145,7.378632,nan,0.00010000,layer_2,0.2,3.1999,train
150,6.750761,nan,0.00010000,layer_2,0.2,3.1999,train
155,7.980034,nan,0.00009999,layer_3,0.2,3.1999,train
160,7.666038,nan,0.00009999,layer_3,0.2,3.1999,train
165,7.830808,nan,0.00009999,layer_4,0.2,3.1999,train
170,7.791384,nan,0.00009998,layer_4,0.2,3.1999,train
175,7.296741,nan,0.00009997,layer_5,0.2,3.1999,train
180,6.860955,nan,0.00009997,layer_5,0.2,3.1999,train
185,7.135727,nan,0.00009996,layer_6,0.2,3.1999,train
190,7.272984,nan,0.00009995,layer_6,0.2,3.1999,train
195,6.932689,nan,0.00009994,layer_7,0.2,3.1999,train
200,7.340402,nan,0.00009993,layer_7,0.2,3.1999,train
205,7.419942,nan,0.00009992,layer_8,0.2,3.1999,train
210,7.478792,nan,0.00009991,layer_8,0.2,3.1999,train
215,6.838192,nan,0.00009990,layer_9,0.2,3.1999,train
220,7.421288,nan,0.00009989,layer_9,0.2,3.1999,train
225,6.641290,nan,0.00009987,layer_10,0.2,3.1999,train
230,7.267916,nan,0.00009986,layer_10,0.2,3.1999,train
235,6.799752,nan,0.00009984,layer_11,0.2,3.2007,train
240,7.106668,nan,0.00009983,layer_11,0.2,3.2007,train
245,7.355205,nan,0.00009981,layer_0,0.2,3.2007,train
250,6.645692,nan,0.00009979,layer_0,0.2,3.2007,train
250,7.065364,7.035754,0.00009979,layer_1,8.6,3.2007,eval
255,6.985543,nan,0.00009978,layer_1,0.2,3.2007,train
260,6.894083,nan,0.00009976,layer_1,0.2,3.2007,train
